Address,Area_m2,Price_m2,Price_total
Towarowa Square,63.3,26949.0,1705053.0
Bulwary Praskie etap NOP,70.1,16000.0,1120960.0
Towarowa Square,46.3,29376.0,1360098.0
Towarowa Square,48.5,29605.0,1436455.0
Bulwary Praskie etap NOP,99.1,19000.0,1883470.0
Bulwary Praskie etap NOP,32.7,17700.0,579144.0
Towarowa Square,48.5,29981.0,1454676.0
Towarowa Square,63.3,27100.0,1714627.0
Bulwary Praskie etap NOP,32.7,17600.0,575872.0
Towarowa Square,46.3,30417.0,1408311.0
Towarowa Square,48.5,30318.0,1471008.0
Towarowa Square,66.8,26419.0,1765063.0
Towarowa Square,46.0,30976.0,1425847.0
Towarowa Square,48.3,31263.0,1508439.0
Towarowa Square,43.9,31904.0,1400245.0
Bulwary Praskie etap NOP,67.0,16059.0,1075319.0
Towarowa Square,48.3,31701.0,1529595.0
Waw.Re,110.6,11900.0,1316259.0
Towarowa Square,40.0,30186.0,1205923.0
Towarowa Square,44.2,28066.0,1240808.0
Towarowa Square,71.1,25148.0,1787235.0
Drucianka Wschodnia,70.8,24800.0,1756088.0
Drucianka Wschodnia,73.7,22600.0,1666072.0
Drucianka Wschodnia,124.6,25800.0,3214680.0
Drucianka Wschodnia,64.3,24700.0,1589198.0
Drucianka Wschodnia,174.3,25800.0,4497198.0
Stacja Rembertów,38.0,15099.0,573025.0
Stacja Rembertów,38.0,15600.0,592002.0
Stacja Rembertów,38.0,15600.0,592158.0
Stacja Rembertów,28.9,16300.0,470757.0
Stacja Rembertów,28.9,16300.0,470757.0
Stacja Rembertów,78.6,13400.0,1053339.0
Stacja Rembertów,66.7,13800.0,920200.0
Stacja Rembertów,56.9,13300.0,756382.0
Stacja Rembertów,37.2,15300.0,569785.0
Stacja Rembertów,38.0,15300.0,580649.0
Stacja Rembertów,38.0,15300.0,580802.0
Stacja Rembertów,28.9,16000.0,462086.0
Stacja Rembertów,28.9,16000.0,462086.0
Stacja Rembertów,77.8,12800.0,996236.0
Stacja Rembertów,56.9,13100.0,745020.0
Stacja Rembertów,37.2,15099.0,562305.0
Juranda Village etap III,128.7,11966.0,1540000.0
Juranda Village etap III,134.4,11458.0,1540000.0
Juranda Village etap III,133.1,11569.0,1540000.0
Stacja Rembertów,55.3,13500.0,745875.0
M Bemowo,26.1,20899.0,544630.0
M Bemowo,62.8,14299.0,898276.0
M Bemowo,103.4,14299.0,1478108.0
M Bemowo,37.0,19199.0,709985.0
M Bemowo,37.0,19199.0,710753.0
M Bemowo,38.1,19199.0,730912.0
M Bemowo,42.0,18800.0,790334.0
M Bemowo,44.3,18100.0,801637.0
M Bemowo,46.9,17799.0,834084.0
M Bemowo,59.0,16200.0,955638.0
M Bemowo,54.4,17799.0,968826.0
M Bemowo,37.0,18999.0,702596.0
My Forest,48.5,14137.0,686222.0
My Forest,55.5,14284.0,793497.0
My Forest,53.1,14506.0,770140.0
My Forest,54.2,14367.0,778255.0
My Forest,58.8,13713.0,806169.0
My Forest,69.0,12577.0,867718.0
My Forest,86.5,12526.0,1084027.0
My Forest,80.0,12650.0,1012124.0
My Forest,52.6,13590.0,715362.0
My Forest,59.1,14194.0,838553.0
My Forest,37.2,16201.0,603176.0
My Forest,37.4,15304.0,571612.0
My Forest,58.8,13826.0,813391.0
My Forest,55.6,14493.0,806407.0
My Forest,59.2,12515.0,741235.0
My Forest,53.6,12903.0,691237.0
My Forest,59.0,12518.0,739213.0
My Forest,55.5,14284.0,793497.0
My Forest,53.1,14506.0,770140.0
My Forest,54.2,14367.0,778255.0
My Forest,58.8,13713.0,806169.0
My Forest,69.0,12577.0,867718.0
My Forest,86.5,12526.0,1084027.0
My Forest,80.0,12650.0,1012124.0
My Forest,52.6,13590.0,715362.0
My Forest,48.5,14137.0,686222.0
My Forest,76.9,13104.0,1007337.0
My Forest,59.6,13901.0,828795.0
My Forest,37.5,15279.0,572802.0
My Forest,37.4,15304.0,571612.0
My Forest,37.2,16201.0,603176.0
My Forest,59.1,14194.0,838553.0
My Forest,58.8,13826.0,813391.0
My Forest,48.6,13511.0,657324.0
My Forest,52.3,13231.0,692234.0
My Forest,48.5,13510.0,655486.0
My Forest,79.9,12682.0,1013447.0
My Forest,77.0,13075.0,1006643.0
My Forest,79.7,12693.0,1011008.0
My Forest,46.4,14046.0,651720.0
My Forest,46.4,14037.0,651176.0
My Forest,78.7,12659.0,996285.0
My Forest,77.0,13075.0,1006643.0
My Forest,48.6,13511.0,657324.0
My Forest,48.5,13510.0,655486.0
My Forest,52.3,13231.0,692234.0
My Forest,79.9,12682.0,1013447.0
My Forest,64.0,13515.0,864706.0
My Forest,34.8,14737.0,512563.0
My Forest,38.1,15858.0,603860.0
My Forest,37.5,14649.0,549061.0
My Forest,34.8,15273.0,531516.0
My Forest,60.9,13860.0,843928.0
My Forest,61.1,15448.0,943262.0
My Forest,38.1,17435.0,663936.0
My Forest,34.8,15271.0,531271.0
My Forest,52.8,13667.0,721729.0
My Forest,59.6,13397.0,798739.0
My Forest,58.8,13412.0,789044.0
My Forest,54.0,14943.0,806332.0
My Forest,60.9,13374.0,814323.0
My Forest,34.8,14683.0,510683.0
My Forest,37.2,14722.0,547790.0
My Forest,59.2,13341.0,789389.0
My Forest,37.2,14722.0,547790.0
My Forest,37.2,14653.0,545223.0
Tarasy Międzylesie,58.5,13907.0,814000.0
My Forest,38.7,16820.0,651604.0
My Forest,39.0,16697.0,651510.0
My Forest,39.0,16646.0,649508.0
My Forest,39.0,16742.0,653287.0
My Forest,43.2,17499.0,756309.0
My Forest,57.9,13813.0,799908.0
My Forest,62.1,12569.0,780303.0
My Forest,49.3,13792.0,680498.0
My Forest,59.2,13425.0,795016.0
My Forest,37.4,15836.0,592745.0
My Forest,44.5,14132.0,628999.0
Tarasy Międzylesie,69.9,14094.0,985000.0
Tarasy Międzylesie,113.0,12296.0,1389000.0
Tarasy Międzylesie,74.7,13794.0,1031000.0
Tarasy Międzylesie,68.7,13801.0,948000.0
Tarasy Międzylesie,84.7,13104.0,1110000.0
Apartamenty Grzybowska 11,37.5,34200.0,1282158.0
Apartamenty Grzybowska 11,66.4,37200.0,2471568.0
Apartamenty Grzybowska 11,39.0,34200.0,1333458.0
Apartamenty Grzybowska 11,37.5,34200.0,1284210.0
Apartamenty Grzybowska 11,44.5,32300.0,1436704.0
My Forest,44.5,14132.0,628999.0
My Forest,37.4,15836.0,592745.0
My Forest,59.2,13425.0,795016.0
My Forest,49.3,13792.0,680498.0
My Forest,62.1,12569.0,780303.0
My Forest,57.9,13813.0,799908.0
My Forest,43.2,17499.0,756309.0
My Forest,39.0,16742.0,653287.0
My Forest,39.0,16646.0,649508.0
My Forest,39.0,16697.0,651510.0
My Forest,38.7,16820.0,651604.0
My Forest,38.6,13254.0,512248.0
My Forest,43.4,15624.0,678100.0
My Forest,39.0,15569.0,607660.0
My Forest,39.0,15571.0,607905.0
My Forest,39.0,15571.0,607905.0
My Forest,38.6,15574.0,601778.0
My Forest,40.0,15582.0,623923.0
My Forest,42.6,13594.0,579231.0
My Forest,39.0,15571.0,608058.0
My Forest,59.7,13395.0,800211.0
My Forest,64.0,13105.0,838593.0
My Forest,43.1,15360.0,661540.0
My Forest,40.1,15560.0,623649.0
My Forest,42.6,13595.0,578727.0
My Forest,54.0,14943.0,806332.0
My Forest,41.6,15533.0,646312.0
My Forest,38.1,15858.0,603860.0
My Forest,34.8,14737.0,512563.0
My Forest,64.0,13515.0,864706.0
My Forest,79.9,12682.0,1013447.0
My Forest,52.3,13231.0,692234.0
My Forest,48.5,13510.0,655486.0
My Forest,48.6,13511.0,657324.0
My Forest,77.0,13075.0,1006643.0
My Forest,78.7,12659.0,996285.0
My Forest,46.4,14037.0,651176.0
My Forest,46.4,14046.0,651720.0
My Forest,79.7,12693.0,1011008.0
My Forest,73.4,13721.0,1006840.0
My Forest,58.8,14104.0,828885.0
My Forest,46.0,14219.0,654380.0
My Forest,86.5,12474.0,1079032.0
M Bemowo,44.5,17299.0,770171.0
M Bemowo,35.3,19300.0,681662.0
M Bemowo,66.8,16400.0,1095671.0
M Bemowo,79.1,16900.0,1337115.0
M Bemowo,41.2,18400.0,758262.0
M Bemowo,35.7,19100.0,682436.0
M Bemowo,35.3,19100.0,674605.0
M Bemowo,58.3,16699.0,973549.0
M Bemowo,35.7,18999.0,678847.0
M Bemowo,35.3,19300.0,681662.0
M Bemowo,66.8,16400.0,1095671.0
M Bemowo,79.1,16900.0,1337115.0
M Bemowo,41.2,18400.0,758262.0
M Bemowo,44.5,17299.0,770171.0
M Bemowo,58.3,16499.0,961901.0
M Bemowo,35.7,19100.0,682436.0
M Bemowo,35.3,19100.0,674605.0
M Bemowo,35.3,18900.0,667548.0
M Bemowo,35.7,18699.0,668120.0
M Bemowo,58.3,16100.0,938604.0
M Bemowo,44.5,16900.0,752381.0
M Bemowo,28.0,20199.0,565377.0
M Bemowo,41.2,17999.0,741750.0
M Bemowo,79.1,16499.0,1305414.0
M Bemowo,66.8,15999.0,1068901.0
M Bemowo,28.0,20399.0,570969.0
M Bemowo,99.5,20300.0,2020224.0
M Bemowo,79.1,16699.0,1321222.0
M Bemowo,41.2,18199.0,749984.0
M Bemowo,58.3,16299.0,950253.0
M Bemowo,35.7,18900.0,675297.0
M Bemowo,44.5,17699.0,787961.0
M Bemowo,58.3,16900.0,985261.0
M Bemowo,38.1,18600.0,708093.0
M Bemowo,38.1,18999.0,723306.0
M Bemowo,42.0,18600.0,781934.0
M Bemowo,44.3,17900.0,792787.0
M Bemowo,46.8,17600.0,824017.0
M Bemowo,59.0,17100.0,1008195.0
M Bemowo,54.4,17600.0,957951.0
M Bemowo,37.0,18800.0,695208.0
M Bemowo,37.0,18800.0,695960.0
M Bemowo,38.1,18800.0,715699.0
M Bemowo,42.0,18400.0,773534.0
M Bemowo,44.3,17699.0,783890.0
M Bemowo,46.8,17400.0,814662.0
M Bemowo,59.0,16900.0,996415.0
M Bemowo,54.4,17400.0,947075.0
M Bemowo,37.0,18600.0,687819.0
M Bemowo,37.0,18600.0,688563.0
M Bemowo,36.6,18499.0,676520.0
M Bemowo,42.0,17999.0,756690.0
M Bemowo,86.2,15099.0,1300971.0
M Bemowo,114.4,16999.0,1944538.0
M Bemowo,55.5,15999.0,888591.0
M Bemowo,28.0,21000.0,588617.0
M Bemowo,38.1,18400.0,700486.0
M Bemowo,35.7,18900.0,675297.0
M Bemowo,35.3,18900.0,667548.0
M Bemowo,66.8,15999.0,1068901.0
M Bemowo,79.1,16499.0,1305414.0
M Bemowo,41.2,17999.0,741750.0
M Bemowo,28.0,20199.0,565377.0
M Bemowo,44.5,16900.0,752381.0
M Bemowo,58.3,16100.0,938604.0
M Bemowo,35.7,18699.0,668120.0
M Bemowo,45.1,16600.0,749140.0
M Bemowo,55.1,15799.0,871008.0
M Bemowo,65.0,16100.0,1046149.0
M Bemowo,55.3,16600.0,918124.0
M Bemowo,74.5,15200.0,1131634.0
M Bemowo,54.7,16400.0,897561.0
M Bemowo,48.4,16699.0,808063.0
M Bemowo,40.7,18199.0,741067.0
M Bemowo,58.5,16200.0,948186.0
M Bemowo,39.4,17600.0,692899.0
M Bemowo,42.0,18199.0,765089.0
M Bemowo,55.1,16699.0,920614.0
M Bemowo,43.1,18199.0,783834.0
M Bemowo,41.9,18199.0,762541.0
M Bemowo,44.4,18699.0,830615.0
M Bemowo,42.0,17999.0,756690.0
M Bemowo,42.0,17999.0,756690.0
M Bemowo,55.1,15799.0,871008.0
M Bemowo,65.0,16100.0,1046149.0
M Bemowo,55.3,16600.0,918124.0
M Bemowo,74.5,15200.0,1131634.0
M Bemowo,54.7,16400.0,897561.0
M Bemowo,48.4,16699.0,808063.0
M Bemowo,40.7,18199.0,741067.0
M Bemowo,58.5,16200.0,948186.0
M Bemowo,45.1,16600.0,749140.0
M Bemowo,44.4,18699.0,830615.0
M Bemowo,41.9,18199.0,762541.0
M Bemowo,59.2,16100.0,953094.0
M Bemowo,39.4,17600.0,692899.0
M Bemowo,43.1,18199.0,783834.0
M Bemowo,55.1,16699.0,920614.0
M Bemowo,42.0,18199.0,765089.0
M Bemowo,42.0,18600.0,782120.0
M Bemowo,43.1,18800.0,809697.0
M Bemowo,103.1,16799.0,1732354.0
M Bemowo,65.0,16699.0,1086100.0
M Bemowo,113.0,18499.0,2090053.0
M Bemowo,68.0,14499.0,985642.0
M Bemowo,42.0,18800.0,790334.0
M Bemowo,43.1,18600.0,801092.0
Metro Life Apartamenty CD,37.4,18450.0,689108.0
Metro Life Apartamenty CD,37.2,18450.0,685602.0
Metro Life Apartamenty CD,39.1,18450.0,721026.0
Metro Life Apartamenty CD,37.9,18450.0,699808.0
Metro Life Apartamenty CD,65.8,16200.0,1065474.0
Metro Life Apartamenty CD,60.4,16400.0,991216.0
Metro Life Apartamenty CD,38.2,18450.0,704606.0
Metro Life Apartamenty CD,51.7,17050.0,881656.0
Metro Life Apartamenty CD,59.8,16650.0,995670.0
Metro Life Apartamenty CD,37.4,18500.0,690975.0
Metro Life Apartamenty CD,37.2,18500.0,687460.0
Metro Life Apartamenty CD,39.1,18500.0,722980.0
Metro Life Apartamenty CD,37.9,18500.0,701705.0
Metro Life Apartamenty CD,65.8,16250.0,1068762.0
Metro Life Apartamenty CD,60.5,16450.0,995390.0
Metro Life Apartamenty CD,38.2,18500.0,706515.0
Metro Life Apartamenty CD,51.7,17100.0,884241.0
Metro Life Apartamenty CD,59.8,16700.0,998660.0
Metro Life Apartamenty CD,37.4,18550.0,692842.0
Metro Life Apartamenty CD,39.1,18550.0,724934.0
Metro Life Apartamenty CD,37.9,18550.0,703602.0
Metro Life Apartamenty CD,65.8,16300.0,1072051.0
Metro Life Apartamenty CD,60.5,16500.0,998415.0
Metro Life Apartamenty CD,51.7,17150.0,886826.0
Osiedle Bokserska 71 Etap 2 Faza 2,55.0,16950.0,931911.0
Osiedle Bokserska 71 Etap 2 Faza 2,55.0,17150.0,942564.0
Osiedle Bokserska 71 Etap 2 Faza 2,25.4,20550.0,522792.0
Osiedle Bokserska 71 Etap 2 Faza 2,25.4,20550.0,521559.0
Osiedle Bokserska 71 Etap 2 Faza 2,58.0,16500.0,957330.0
Osiedle Bokserska 71 Etap 2 Faza 2,55.0,17050.0,937068.0
Osiedle Bokserska 71 Etap 2 Faza 2,25.3,20050.0,507666.0
Osiedle Bokserska 71 Etap 2 Faza 2,25.4,20450.0,520248.0
Osiedle Bokserska 71 Etap 2 Faza 2,25.4,20450.0,519021.0
Osiedle Bokserska 71 Etap 2 Faza 2,58.0,16400.0,951528.0
Osiedle Bokserska 71 Etap 2 Faza 2,55.0,16950.0,931911.0
Osiedle Bokserska 71 Etap 2 Faza 2,25.4,20350.0,517500.0
Osiedle Bokserska 71 Etap 2 Faza 2,25.4,20350.0,516483.0
Osiedle Bokserska 71 Etap 2 Faza 2,58.0,16300.0,945889.0
Osiedle Bokserska 71 Etap 2 Faza 2,55.0,16850.0,926076.0
Osiedle Bokserska 71 Etap 2 Faza 2,25.4,20250.0,515160.0
Osiedle Bokserska 71 Etap 2 Faza 2,25.4,20250.0,513945.0
Osiedle Bokserska 71 Etap 2 Faza 2,56.3,16800.0,945840.0
Osiedle Bokserska 71 Etap 2 Faza 2,45.4,17600.0,798864.0
Osiedle Bokserska 71 Etap 2 Faza 2,47.6,17350.0,826034.0
Osiedle Bokserska 71 Etap 2 Faza 2,55.0,16750.0,921082.0
Osiedle Bokserska 71 Etap 2 Faza 2,56.3,16700.0,940210.0
Osiedle Bokserska 71 Etap 2 Faza 2,39.0,17750.0,692072.0
Osiedle Bokserska 71 Etap 2 Faza 2,45.4,17700.0,803403.0
Osiedle Bokserska 71 Etap 2 Faza 2,47.6,17450.0,830794.0
Osiedle Bokserska 71 Etap 2 Faza 2,45.4,17900.0,812481.0
Osiedle Bokserska 71 Etap 2 Faza 2,25.4,20450.0,520248.0
Osiedle Bokserska 71 Etap 2 Faza 2,25.3,20050.0,507666.0
Osiedle Bokserska 71 Etap 2 Faza 2,55.0,17050.0,937068.0
Osiedle Bokserska 71 Etap 2 Faza 2,58.0,16500.0,957330.0
Osiedle Bokserska 71 Etap 2 Faza 2,25.4,20550.0,521559.0
Osiedle Bokserska 71 Etap 2 Faza 2,25.4,20550.0,522792.0
Osiedle Bokserska 71 Etap 2 Faza 2,55.0,17150.0,942564.0
Osiedle Bokserska 71 Etap 2 Faza 2,54.9,16600.0,911506.0
Osiedle Bokserska 71 Etap 2 Faza 2,57.2,16400.0,938244.0
Osiedle Bokserska 71 Etap 2 Faza 2,56.4,16400.0,925124.0
Osiedle Bokserska 71 Etap 2 Faza 2,43.5,17150.0,746711.0
Osiedle Bokserska 71 Etap 2 Faza 2,41.0,17500.0,718200.0
Osiedle Bokserska 71 Etap 2 Faza 2,58.7,16300.0,956158.0
Osiedle Bokserska 71 Etap 2 Faza 2,58.0,16100.0,934283.0
Osiedle Bokserska 71 Etap 2 Faza 2,57.2,16300.0,932523.0
Osiedle Bokserska 71 Etap 2 Faza 2,56.4,16300.0,919320.0
Osiedle Bokserska 71 Etap 2 Faza 2,43.6,17050.0,742868.0
Osiedle Bokserska 71 Etap 2 Faza 2,41.0,17400.0,714270.0
Osiedle Bokserska 71 Etap 2 Faza 2,58.7,16200.0,950292.0
Osiedle Bokserska 71 Etap 2 Faza 2,57.2,16200.0,926802.0
Osiedle Bokserska 71 Etap 2 Faza 2,56.4,16200.0,913842.0
Osiedle Bokserska 71 Etap 2 Faza 2,43.5,16950.0,738003.0
Osiedle Bokserska 71 Etap 2 Faza 2,41.0,17300.0,709992.0
Osiedle Bokserska 71 Etap 2 Faza 2,58.7,16100.0,944426.0
Osiedle Bokserska 71 Etap 2 Faza 2,58.7,15900.0,932853.0
Osiedle Bokserska 71 Etap 2 Faza 2,47.6,17650.0,840316.0
Osiedle Bokserska 71 Etap 2 Faza 2,45.4,17900.0,812481.0
Osiedle Bokserska 71 Etap 2 Faza 2,58.0,16200.0,940086.0
Osiedle Bokserska 71 Etap 2 Faza 2,39.0,17950.0,699870.0
Osiedle Bokserska 71 Etap 2 Faza 2,56.3,16900.0,951470.0
Osiedle Bokserska 71 Etap 2 Faza 2,47.6,17550.0,835556.0
Osiedle Bokserska 71 Etap 2 Faza 2,39.0,17850.0,695972.0
Osiedle Bokserska 71 Etap 2 Faza 2,56.3,16800.0,945840.0
