Address,Price_total,Area_m2,Price_m2,Rooms,Floor
ulica Równoległa 8B,1020745.0,66.1,15440.0,4,2
ulica Tomasza Nocznickiego 29,1124376.0,56.6,19851.0,3,6
ulica Instalatorów 7A,1082358.0,86.1,12575.0,4,3
ulica Mińska 9,361295.0,25.1,14388.0,1,5
ulica Mińska 9,516651.0,37.6,13752.0,2,5
ulica Mińska 9,686479.0,35.0,19619.0,1,1
ulica Mińska 9,361200.0,25.8,14000.0,1,5
ulica Stanisława Dubois 9,1013000.0,39.4,25704.0,2,2
ulica Bogata 9,1530000.0,119.9,12757.0,5,1
ulica Instalatorów 7A,693496.0,49.5,14024.0,3,1
ulica Równoległa 8,1066288.0,79.3,13455.0,5,4
ulica Przedpole 8,614710.0,40.5,15186.0,2,2
ulica Instalatorów 7A,980000.0,63.4,15450.0,3,6
ulica Jerzego Holzera 6,1238224.0,87.3,14190.0,5,4
ulica Równoległa 8B,939226.0,66.2,14188.0,4,5
ulica Hilarego Koprowskiego 4,601121.0,44.8,13412.0,2,2
ulica Loteryjki 69D,309739.0,42.4,7300.0,2,3
ulica Podleśna 59,1265537.0,52.3,24193.0,2,3
ulica Solipska 1,1212716.0,80.7,15026.0,5,2
ulica Janowiecka 17,1000000.0,77.7,12865.0,4,4
ulica Zachodnia 10,1466588.0,149.9,9781.0,5,1
ulica Janowiecka 17,624419.0,41.3,15104.0,2,4
ulica Zachodnia 10,1113436.0,130.8,8516.0,5,1
ulica Zachodnia 12,1369386.0,145.5,9409.0,6,1
ulica Instalatorów 7,922618.0,71.9,12836.0,4,4
ulica Zachodnia 12,1045000.0,125.5,8329.0,5,1
ulica Instalatorów 7A,513277.0,36.6,14012.0,2,2
ulica Jerzego Holzera 6,530000.0,31.9,16620.0,1,2
ulica Prętowa 19A,1980000.0,157.6,12562.0,5,1
ulica Mińska 9,516651.0,37.6,13752.0,2,5
ulica Mińska 9,686479.0,35.0,19619.0,1,1
ulica Mińska 9,361200.0,25.8,14000.0,1,5
ulica Stanisława Dubois 9,1013000.0,39.4,25704.0,2,2
ulica Bogata 9,1530000.0,119.9,12757.0,5,1
ulica Instalatorów 7A,693496.0,49.5,14024.0,3,1
ulica Równoległa 8,1066288.0,79.3,13455.0,5,4
ulica Przedpole 8,614710.0,40.5,15186.0,2,2
ulica Instalatorów 7A,980000.0,63.4,15450.0,3,6
ulica Jerzego Holzera 6,1238224.0,87.3,14190.0,5,4
ulica Równoległa 8B,939226.0,66.2,14188.0,4,5
ulica Hilarego Koprowskiego 4,601121.0,44.8,13412.0,2,2
ulica Loteryjki 69D,309739.0,42.4,7300.0,2,3
ulica Podleśna 59,1265537.0,52.3,24193.0,2,3
ulica Solipska 1,1212716.0,80.7,15026.0,5,2
ulica Janowiecka 17,1000000.0,77.7,12865.0,4,4
ulica Zachodnia 10,1466588.0,149.9,9781.0,5,1
ulica Janowiecka 17,624419.0,41.3,15104.0,2,4
ulica Zachodnia 10,1113436.0,130.8,8516.0,5,1
ulica Zachodnia 12,1369386.0,145.5,9409.0,6,1
ulica Instalatorów 7,922618.0,71.9,12836.0,4,4
ulica Zachodnia 12,1045000.0,125.5,8329.0,5,1
ulica Instalatorów 7A,513277.0,36.6,14012.0,2,2
ulica Jerzego Holzera 6,530000.0,31.9,16620.0,1,2
ulica Prętowa 19A,1980000.0,157.6,12562.0,5,1
ulica Mińska 9,516651.0,37.6,13752.0,2,5
ulica Mińska 9,686479.0,35.0,19619.0,1,1
ulica Mińska 9,361200.0,25.8,14000.0,1,5
ulica Stanisława Dubois 9,1013000.0,39.4,25704.0,2,2
ulica Bogata 9,1530000.0,119.9,12757.0,5,1
ulica Instalatorów 7A,693496.0,49.5,14024.0,3,1
ulica Równoległa 8,1066288.0,79.3,13455.0,5,4
ulica Przedpole 8,614710.0,40.5,15186.0,2,2
ulica Instalatorów 7A,980000.0,63.4,15450.0,3,6
ulica Jerzego Holzera 6,1238224.0,87.3,14190.0,5,4
ulica Równoległa 8B,939226.0,66.2,14188.0,4,5
ulica Hilarego Koprowskiego 4,601121.0,44.8,13412.0,2,2
ulica Loteryjki 69D,309739.0,42.4,7300.0,2,3
ulica Podleśna 59,1265537.0,52.3,24193.0,2,3
ulica Solipska 1,1212716.0,80.7,15026.0,5,2
ulica Janowiecka 17,1000000.0,77.7,12865.0,4,4
ulica Zachodnia 10,1466588.0,149.9,9781.0,5,1
ulica Janowiecka 17,624419.0,41.3,15104.0,2,4
ulica Zachodnia 10,1113436.0,130.8,8516.0,5,1
ulica Zachodnia 12,1369386.0,145.5,9409.0,6,1
ulica Instalatorów 7,922618.0,71.9,12836.0,4,4
ulica Zachodnia 12,1045000.0,125.5,8329.0,5,1
ulica Instalatorów 7A,513277.0,36.6,14012.0,2,2
ulica Jerzego Holzera 6,530000.0,31.9,16620.0,1,2
ulica Prętowa 19A,1980000.0,157.6,12562.0,5,1
ulica Hilarego Koprowskiego 4,1019181.0,83.5,12200.0,4,3
ulica Potułkały 3G,2849000.0,229.4,12418.0,8,1
ulica Instalatorów 7,577806.0,38.2,15122.0,2,4
ulica Książąt Mazowieckich 8,1375927.0,80.2,17167.0,4,3
ulica Równoległa 8,589295.0,37.1,15880.0,2,4
ulica Jerzego Holzera 6,985000.0,63.5,15524.0,4,2
ulica Syta 160A,950000.0,156.5,6070.0,6,1
ulica Janowiecka 17,733400.0,52.7,13909.0,3,3
ulica Waniliowa 3E,2200000.0,186.5,11796.0,5,1
ulica Hilarego Koprowskiego 4,380000.0,27.4,13894.0,1,2
ulica Świętokrzyska 35,861563.0,37.5,22975.0,3,15
ulica Podleśna 59,2084253.0,86.1,24216.0,4,2
ulica Równoległa 8,639954.0,39.4,16234.0,3,2
ulica Podleśna 59,2301936.0,109.2,21084.0,4,1
ulica Szeligowska 39A,613280.0,46.5,13194.0,2,2
ulica Szeligowska 39,756810.0,59.0,12836.0,3,4
ulica Równoległa 16A,1138718.0,98.9,11517.0,5,7
ulica Podleśna 59,1497264.0,63.0,23755.0,3,3
ulica Instalatorów 7,555089.0,37.8,14677.0,2,3
ulica Szeligowska 39,747158.0,59.0,12668.0,3,3
ulica Szeligowska 39B,494681.0,35.1,14081.0,2,4
ulica Stanisława Dubois 9,1310700.0,43.9,29850.0,2,10
ulica Szeroka 140C,1422000.0,126.6,11229.0,0,1
ulica Pod Dębami 21,3570000.0,181.3,19687.0,6,1
ulica Michała Oczapowskiego 15,2076344.0,100.7,20621.0,4,4
ulica Hilarego Koprowskiego 4,1019181.0,83.5,12200.0,4,3
ulica Potułkały 3G,2849000.0,229.4,12418.0,8,1
ulica Instalatorów 7,577806.0,38.2,15122.0,2,4
ulica Książąt Mazowieckich 8,1375927.0,80.2,17167.0,4,3
ulica Równoległa 8,589295.0,37.1,15880.0,2,4
ulica Jerzego Holzera 6,985000.0,63.5,15524.0,4,2
ulica Syta 160A,950000.0,156.5,6070.0,6,1
ulica Janowiecka 17,733400.0,52.7,13909.0,3,3
ulica Waniliowa 3E,2200000.0,186.5,11796.0,5,1
ulica Hilarego Koprowskiego 4,380000.0,27.4,13894.0,1,2
ulica Świętokrzyska 35,861563.0,37.5,22975.0,3,15
ulica Podleśna 59,2084253.0,86.1,24216.0,4,2
ulica Równoległa 8,639954.0,39.4,16234.0,3,2
ulica Podleśna 59,2301936.0,109.2,21084.0,4,1
ulica Szeligowska 39A,613280.0,46.5,13194.0,2,2
ulica Szeligowska 39,756810.0,59.0,12836.0,3,4
ulica Równoległa 16A,1138718.0,98.9,11517.0,5,7
ulica Podleśna 59,1497264.0,63.0,23755.0,3,3
ulica Instalatorów 7,555089.0,37.8,14677.0,2,3
ulica Szeligowska 39,747158.0,59.0,12668.0,3,3
ulica Szeligowska 39B,494681.0,35.1,14081.0,2,4
ulica Stanisława Dubois 9,1310700.0,43.9,29850.0,2,10
ulica Szeroka 140C,1422000.0,126.6,11229.0,0,1
ulica Pod Dębami 21,3570000.0,181.3,19687.0,6,1
ulica Michała Oczapowskiego 15,2076344.0,100.7,20621.0,4,4
ulica Hilarego Koprowskiego 4,1019181.0,83.5,12200.0,4,3
ulica Potułkały 3G,2849000.0,229.4,12418.0,8,1
ulica Instalatorów 7,577806.0,38.2,15122.0,2,4
ulica Książąt Mazowieckich 8,1375927.0,80.2,17167.0,4,3
ulica Równoległa 8,589295.0,37.1,15880.0,2,4
ulica Jerzego Holzera 6,985000.0,63.5,15524.0,4,2
ulica Syta 160A,950000.0,156.5,6070.0,6,1
ulica Janowiecka 17,733400.0,52.7,13909.0,3,3
ulica Waniliowa 3E,2200000.0,186.5,11796.0,5,1
ulica Hilarego Koprowskiego 4,380000.0,27.4,13894.0,1,2
ulica Świętokrzyska 35,861563.0,37.5,22975.0,3,15
ulica Podleśna 59,2084253.0,86.1,24216.0,4,2
ulica Równoległa 8,639954.0,39.4,16234.0,3,2
ulica Podleśna 59,2301936.0,109.2,21084.0,4,1
ulica Szeligowska 39A,613280.0,46.5,13194.0,2,2
ulica Szeligowska 39,756810.0,59.0,12836.0,3,4
ulica Równoległa 16A,1138718.0,98.9,11517.0,5,7
ulica Podleśna 59,1497264.0,63.0,23755.0,3,3
ulica Instalatorów 7,555089.0,37.8,14677.0,2,3
ulica Szeligowska 39,747158.0,59.0,12668.0,3,3
ulica Szeligowska 39B,494681.0,35.1,14081.0,2,4
ulica Stanisława Dubois 9,1310700.0,43.9,29850.0,2,10
ulica Szeroka 140C,1422000.0,126.6,11229.0,0,1
ulica Pod Dębami 21,3570000.0,181.3,19687.0,6,1
ulica Michała Oczapowskiego 15,2076344.0,100.7,20621.0,4,4
ulica Mińska 9,392012.0,28.8,13593.0,1,5
ulica Instalatorów 7,474504.0,32.4,14659.0,2,5
ulica Instalatorów 7A,567188.0,39.5,14359.0,2,3
ulica Solipska 1,1211500.0,77.7,15584.0,4,1
ulica Podleśna 59,2268849.0,88.4,25657.0,4,4
ulica Solipska 1,1242251.0,81.4,15255.0,4,3
ulica Krochmalna 61,991051.0,36.5,27145.0,1,3
ulica Krochmalna 61,1274915.0,43.8,29081.0,1,3
ulica Podleśna 59,1349610.0,49.6,27193.0,2,3
ulica Hilarego Koprowskiego 4,1032555.0,84.7,12191.0,4,4
ulica Stanisława Noakowskiego 10,3635636.0,242.1,15018.0,9,3
ulica Jerzego Holzera 6,600000.0,41.8,14358.0,2,5
ulica Stanisława Noakowskiego 10,3534647.0,247.3,14292.0,9,5
ulica Stanisława Noakowskiego 10,3332667.0,240.3,13866.0,10,8
ulica Równoległa 8,735910.0,52.9,13909.0,3,1
ulica Kolejowa 19C,1237391.0,70.5,17542.0,3,9
ulica Podleśna 59,1745110.0,63.4,27547.0,3,5
ulica Podleśna 59,1455968.0,52.5,27743.0,2,5
ulica Łopuszańska 53,362379.0,27.4,13240.0,1,6
ulica Pielgrzymów 33,502000.0,43.5,11532.0,2,2
Aleje Jerozolimskie 190,577294.0,36.2,15947.0,2,6
ulica Solipska 1,1059539.0,67.0,15814.0,4,3
ulica Hilarego Koprowskiego 4,562188.0,42.4,13265.0,2,2
ulica Solipska 1,1168820.0,75.2,15539.0,4,1
ulica Janowiecka 17,863643.0,67.0,12896.0,3,4
ulica Mińska 9,392012.0,28.8,13593.0,1,5
ulica Instalatorów 7,474504.0,32.4,14659.0,2,5
ulica Instalatorów 7A,567188.0,39.5,14359.0,2,3
ulica Solipska 1,1211500.0,77.7,15584.0,4,1
ulica Podleśna 59,2268849.0,88.4,25657.0,4,4
ulica Solipska 1,1242251.0,81.4,15255.0,4,3
ulica Krochmalna 61,991051.0,36.5,27145.0,1,3
ulica Krochmalna 61,1274915.0,43.8,29081.0,1,3
ulica Podleśna 59,1349610.0,49.6,27193.0,2,3
ulica Hilarego Koprowskiego 4,1032555.0,84.7,12191.0,4,4
ulica Stanisława Noakowskiego 10,3635636.0,242.1,15018.0,9,3
ulica Jerzego Holzera 6,600000.0,41.8,14358.0,2,5
ulica Stanisława Noakowskiego 10,3534647.0,247.3,14292.0,9,5
ulica Stanisława Noakowskiego 10,3332667.0,240.3,13866.0,10,8
ulica Równoległa 8,735910.0,52.9,13909.0,3,1
ulica Kolejowa 19C,1237391.0,70.5,17542.0,3,9
ulica Podleśna 59,1745110.0,63.4,27547.0,3,5
ulica Podleśna 59,1455968.0,52.5,27743.0,2,5
ulica Łopuszańska 53,362379.0,27.4,13240.0,1,6
ulica Pielgrzymów 33,502000.0,43.5,11532.0,2,2
Aleje Jerozolimskie 190,577294.0,36.2,15947.0,2,6
ulica Solipska 1,1059539.0,67.0,15814.0,4,3
ulica Hilarego Koprowskiego 4,562188.0,42.4,13265.0,2,2
ulica Solipska 1,1168820.0,75.2,15539.0,4,1
ulica Janowiecka 17,863643.0,67.0,12896.0,3,4
ulica Mińska 9,392012.0,28.8,13593.0,1,5
ulica Instalatorów 7,474504.0,32.4,14659.0,2,5
ulica Instalatorów 7A,567188.0,39.5,14359.0,2,3
ulica Solipska 1,1211500.0,77.7,15584.0,4,1
ulica Podleśna 59,2268849.0,88.4,25657.0,4,4
ulica Solipska 1,1242251.0,81.4,15255.0,4,3
ulica Krochmalna 61,991051.0,36.5,27145.0,1,3
ulica Krochmalna 61,1274915.0,43.8,29081.0,1,3
ulica Podleśna 59,1349610.0,49.6,27193.0,2,3
ulica Hilarego Koprowskiego 4,1032555.0,84.7,12191.0,4,4
ulica Stanisława Noakowskiego 10,3635636.0,242.1,15018.0,9,3
ulica Jerzego Holzera 6,600000.0,41.8,14358.0,2,5
ulica Stanisława Noakowskiego 10,3534647.0,247.3,14292.0,9,5
ulica Stanisława Noakowskiego 10,3332667.0,240.3,13866.0,10,8
ulica Równoległa 8,735910.0,52.9,13909.0,3,1
ulica Kolejowa 19C,1237391.0,70.5,17542.0,3,9
ulica Podleśna 59,1745110.0,63.4,27547.0,3,5
ulica Podleśna 59,1455968.0,52.5,27743.0,2,5
ulica Łopuszańska 53,362379.0,27.4,13240.0,1,6
ulica Pielgrzymów 33,502000.0,43.5,11532.0,2,2
Aleje Jerozolimskie 190,577294.0,36.2,15947.0,2,6
ulica Solipska 1,1059539.0,67.0,15814.0,4,3
ulica Hilarego Koprowskiego 4,562188.0,42.4,13265.0,2,2
ulica Solipska 1,1168820.0,75.2,15539.0,4,1
ulica Janowiecka 17,863643.0,67.0,12896.0,3,4
ulica Instalatorów 7,629172.0,39.9,15777.0,2,7
ulica Podleśna 59,2444110.0,106.9,22870.0,5,3
ulica Krochmalna 61,823491.0,28.7,28673.0,1,4
ulica Podleśna 59,1747383.0,63.7,27419.0,3,3
ulica Hilarego Koprowskiego 4,338915.0,27.4,12356.0,1,4
ulica Podleśna 59,3397856.0,142.0,23925.0,4,5
ulica Hilarego Koprowskiego 4,475606.0,32.3,14711.0,1,2
ulica Kolejowa 19C,1000000.0,46.0,21749.0,1,8
ulica Hilarego Koprowskiego 4,620000.0,47.0,13206.0,2,2
ulica Podleśna 59,1618700.0,65.4,24755.0,3,4
ulica Duninów 7,1015000.0,70.9,14318.0,3,4
ulica Instalatorów 7A,462250.0,32.6,14179.0,2,1
ulica Podleśna 59,1541700.0,65.5,23530.0,3,5
ulica Podleśna 59,1336928.0,52.3,25548.0,2,2
ulica Stanisława Dubois 9,3198476.0,105.6,30286.0,4,7
ulica Solipska 1,1224430.0,81.4,15035.0,4,2
ulica Kolejowa 19,665133.0,31.8,20903.0,2,7
ulica Szeroka 142K,1337000.0,132.2,10115.0,0,1
ulica Podleśna 59,1515721.0,70.3,21552.0,2,1
ulica Stanisława Dubois 9,1534414.0,58.7,26158.0,2,8
ulica Instalatorów 7A,547965.0,38.3,14307.0,2,2
ulica Michała Oczapowskiego 15,1345000.0,62.3,21575.0,3,1
ulica Południowa 26B,1330000.0,102.7,12955.0,4,1
ulica Kolejowa 19B,1010000.0,39.7,25434.0,2,4
ulica Sarmacka 27,1001281.0,67.0,14949.0,4,2
ulica Instalatorów 7,629172.0,39.9,15777.0,2,7
ulica Podleśna 59,2444110.0,106.9,22870.0,5,3
ulica Krochmalna 61,823491.0,28.7,28673.0,1,4
ulica Podleśna 59,1747383.0,63.7,27419.0,3,3
ulica Hilarego Koprowskiego 4,338915.0,27.4,12356.0,1,4
ulica Podleśna 59,3397856.0,142.0,23925.0,4,5
ulica Hilarego Koprowskiego 4,475606.0,32.3,14711.0,1,2
ulica Kolejowa 19C,1000000.0,46.0,21749.0,1,8
ulica Hilarego Koprowskiego 4,620000.0,47.0,13206.0,2,2
ulica Podleśna 59,1618700.0,65.4,24755.0,3,4
ulica Duninów 7,1015000.0,70.9,14318.0,3,4
ulica Instalatorów 7A,462250.0,32.6,14179.0,2,1
ulica Podleśna 59,1541700.0,65.5,23530.0,3,5
ulica Podleśna 59,1336928.0,52.3,25548.0,2,2
ulica Stanisława Dubois 9,3198476.0,105.6,30286.0,4,7
ulica Solipska 1,1224430.0,81.4,15035.0,4,2
ulica Kolejowa 19,665133.0,31.8,20903.0,2,7
ulica Szeroka 142K,1337000.0,132.2,10115.0,0,1
ulica Podleśna 59,1515721.0,70.3,21552.0,2,1
ulica Stanisława Dubois 9,1534414.0,58.7,26158.0,2,8
ulica Instalatorów 7A,547965.0,38.3,14307.0,2,2
ulica Michała Oczapowskiego 15,1345000.0,62.3,21575.0,3,1
ulica Południowa 26B,1330000.0,102.7,12955.0,4,1
ulica Kolejowa 19B,1010000.0,39.7,25434.0,2,4
ulica Sarmacka 27,1001281.0,67.0,14949.0,4,2
ulica Instalatorów 7,629172.0,39.9,15777.0,2,7
ulica Podleśna 59,2444110.0,106.9,22870.0,5,3
ulica Krochmalna 61,823491.0,28.7,28673.0,1,4
ulica Podleśna 59,1747383.0,63.7,27419.0,3,3
ulica Hilarego Koprowskiego 4,338915.0,27.4,12356.0,1,4
ulica Podleśna 59,3397856.0,142.0,23925.0,4,5
ulica Hilarego Koprowskiego 4,475606.0,32.3,14711.0,1,2
ulica Kolejowa 19C,1000000.0,46.0,21749.0,1,8
ulica Hilarego Koprowskiego 4,620000.0,47.0,13206.0,2,2
ulica Podleśna 59,1618700.0,65.4,24755.0,3,4
ulica Duninów 7,1015000.0,70.9,14318.0,3,4
ulica Instalatorów 7A,462250.0,32.6,14179.0,2,1
ulica Podleśna 59,1541700.0,65.5,23530.0,3,5
ulica Podleśna 59,1336928.0,52.3,25548.0,2,2
ulica Stanisława Dubois 9,3198476.0,105.6,30286.0,4,7
ulica Solipska 1,1224430.0,81.4,15035.0,4,2
ulica Kolejowa 19,665133.0,31.8,20903.0,2,7
ulica Szeroka 142K,1337000.0,132.2,10115.0,0,1
ulica Podleśna 59,1515721.0,70.3,21552.0,2,1
ulica Stanisława Dubois 9,1534414.0,58.7,26158.0,2,8
ulica Instalatorów 7A,547965.0,38.3,14307.0,2,2
ulica Michała Oczapowskiego 15,1345000.0,62.3,21575.0,3,1
ulica Południowa 26B,1330000.0,102.7,12955.0,4,1
ulica Kolejowa 19B,1010000.0,39.7,25434.0,2,4
ulica Sarmacka 27,1001281.0,67.0,14949.0,4,2
ulica Instalatorów 7A,775369.0,49.7,15614.0,3,6
ulica Stefana Okrzei 27,667642.0,37.3,17880.0,1,3
ulica Mińska 9,595000.0,43.1,13805.0,1,5
ulica Podleśna 59,2093262.0,83.3,25141.0,4,2
ulica Instalatorów 7,1003416.0,68.9,14555.0,4,6
ulica Geometryczna 5A,601720.0,40.5,14865.0,2,4
ulica Mińska 9,360785.0,25.1,14380.0,1,5
ulica Józefa Sierakowskiego 1,3102130.0,107.0,28995.0,4,4
ulica Jerzego Holzera 6,550000.0,38.5,14282.0,2,4
ulica Ostrobramska 76,1300154.0,97.6,13320.0,4,8
ulica Sarmacka 27,1082137.0,72.4,14947.0,4,3
ulica Sarmacka 27,980350.0,67.0,14636.0,4,2
ulica Sokratesa 11A,1200000.0,66.9,17929.0,3,7
ulica Łopuszańska 53,493140.0,33.4,14765.0,2,3
ulica Mińska 9,713848.0,54.3,13146.0,3,5
ulica Instalatorów 7A,501250.0,32.5,15423.0,2,5
ulica Józefa Sierakowskiego 1,921440.0,35.4,26000.0,1,4
ulica Głębocka 115C,1006832.0,83.1,12114.0,4,3
ulica Instalatorów 7,871660.0,66.1,13181.0,3,3
ulica Równoległa 8,645027.0,37.1,17396.0,2,5
ulica Józefa Sierakowskiego 3,718525.0,35.1,20494.0,1,3
ulica Krochmalna 61,1131469.0,38.9,29072.0,1,5
ulica Szafrańców 5,1098298.0,93.1,11800.0,4,8
ulica Szafrańców 5,584104.0,38.3,15255.0,2,7
ulica Szafrańców 5,987180.0,67.5,14618.0,4,5
ulica Instalatorów 7A,775369.0,49.7,15614.0,3,6
ulica Stefana Okrzei 27,667642.0,37.3,17880.0,1,3
ulica Mińska 9,595000.0,43.1,13805.0,1,5
ulica Podleśna 59,2093262.0,83.3,25141.0,4,2
ulica Instalatorów 7,1003416.0,68.9,14555.0,4,6
ulica Geometryczna 5A,601720.0,40.5,14865.0,2,4
ulica Mińska 9,360785.0,25.1,14380.0,1,5
ulica Józefa Sierakowskiego 1,3102130.0,107.0,28995.0,4,4
ulica Jerzego Holzera 6,550000.0,38.5,14282.0,2,4
ulica Ostrobramska 76,1300154.0,97.6,13320.0,4,8
ulica Sarmacka 27,1082137.0,72.4,14947.0,4,3
ulica Sarmacka 27,980350.0,67.0,14636.0,4,2
ulica Sokratesa 11A,1200000.0,66.9,17929.0,3,7
ulica Łopuszańska 53,493140.0,33.4,14765.0,2,3
ulica Mińska 9,713848.0,54.3,13146.0,3,5
ulica Instalatorów 7A,501250.0,32.5,15423.0,2,5
ulica Józefa Sierakowskiego 1,921440.0,35.4,26000.0,1,4
ulica Głębocka 115C,1006832.0,83.1,12114.0,4,3
ulica Instalatorów 7,871660.0,66.1,13181.0,3,3
ulica Równoległa 8,645027.0,37.1,17396.0,2,5
ulica Józefa Sierakowskiego 3,718525.0,35.1,20494.0,1,3
ulica Krochmalna 61,1131469.0,38.9,29072.0,1,5
ulica Szafrańców 5,1098298.0,93.1,11800.0,4,8
ulica Szafrańców 5,584104.0,38.3,15255.0,2,7
ulica Szafrańców 5,987180.0,67.5,14618.0,4,5
ulica Instalatorów 7A,775369.0,49.7,15614.0,3,6
ulica Stefana Okrzei 27,667642.0,37.3,17880.0,1,3
ulica Mińska 9,595000.0,43.1,13805.0,1,5
ulica Podleśna 59,2093262.0,83.3,25141.0,4,2
ulica Instalatorów 7,1003416.0,68.9,14555.0,4,6
ulica Geometryczna 5A,601720.0,40.5,14865.0,2,4
ulica Mińska 9,360785.0,25.1,14380.0,1,5
ulica Józefa Sierakowskiego 1,3102130.0,107.0,28995.0,4,4
ulica Jerzego Holzera 6,550000.0,38.5,14282.0,2,4
ulica Ostrobramska 76,1300154.0,97.6,13320.0,4,8
ulica Sarmacka 27,1082137.0,72.4,14947.0,4,3
ulica Sarmacka 27,980350.0,67.0,14636.0,4,2
ulica Sokratesa 11A,1200000.0,66.9,17929.0,3,7
ulica Łopuszańska 53,493140.0,33.4,14765.0,2,3
ulica Mińska 9,713848.0,54.3,13146.0,3,5
ulica Instalatorów 7A,501250.0,32.5,15423.0,2,5
ulica Józefa Sierakowskiego 1,921440.0,35.4,26000.0,1,4
ulica Głębocka 115C,1006832.0,83.1,12114.0,4,3
ulica Instalatorów 7,871660.0,66.1,13181.0,3,3
ulica Równoległa 8,645027.0,37.1,17396.0,2,5
ulica Józefa Sierakowskiego 3,718525.0,35.1,20494.0,1,3
ulica Krochmalna 61,1131469.0,38.9,29072.0,1,5
