Address,Price_total,Area_m2,Price_m2,Rooms,Floor,source
ulica Solipska 1,1242251.0,81.4,15255.0,4,3.0,transactions
ulica Krochmalna 61,991051.0,36.5,27145.0,1,3.0,transactions
ulica Krochmalna 61,1274915.0,43.8,29081.0,1,3.0,transactions
ulica Podleśna 59,1349610.0,49.6,27193.0,2,3.0,transactions
ulica Hilarego Koprowskiego 4,1032555.0,84.7,12191.0,4,4.0,transactions
ulica Stanisława Noakowskiego 10,3635636.0,242.1,15018.0,9,3.0,transactions
ulica Jerzego Holzera 6,600000.0,41.8,14358.0,2,5.0,transactions
ulica Stanisława Noakowskiego 10,3534647.0,247.3,14292.0,9,5.0,transactions
ulica Stanisława Noakowskiego 10,3332667.0,240.3,13866.0,10,8.0,transactions
ulica Równoległa 8,735910.0,52.9,13909.0,3,1.0,transactions
ulica Kolejowa 19C,1237391.0,70.5,17542.0,3,9.0,transactions
ulica Podleśna 59,1745110.0,63.4,27547.0,3,5.0,transactions
ulica Podleśna 59,1455968.0,52.5,27743.0,2,5.0,transactions
ulica Łopuszańska 53,362379.0,27.4,13240.0,1,6.0,transactions
ulica Pielgrzymów 33,502000.0,43.5,11532.0,2,2.0,transactions
Aleje Jerozolimskie 190,577294.0,36.2,15947.0,2,6.0,transactions
ulica Solipska 1,1059539.0,67.0,15814.0,4,3.0,transactions
ulica Hilarego Koprowskiego 4,562188.0,42.4,13265.0,2,2.0,transactions
ulica Solipska 1,1168820.0,75.2,15539.0,4,1.0,transactions
ulica Janowiecka 17,863643.0,67.0,12896.0,3,4.0,transactions
ulica Instalatorów 7,629172.0,39.9,15777.0,2,7.0,transactions
ulica Podleśna 59,2444110.0,106.9,22870.0,5,3.0,transactions
ulica Krochmalna 61,823491.0,28.7,28673.0,1,4.0,transactions
ulica Podleśna 59,1747383.0,63.7,27419.0,3,3.0,transactions
ulica Hilarego Koprowskiego 4,338915.0,27.4,12356.0,1,4.0,transactions
ulica Podleśna 59,3397856.0,142.0,23925.0,4,5.0,transactions
ulica Hilarego Koprowskiego 4,475606.0,32.3,14711.0,1,2.0,transactions
ulica Kolejowa 19C,1000000.0,46.0,21749.0,1,8.0,transactions
ulica Hilarego Koprowskiego 4,620000.0,47.0,13206.0,2,2.0,transactions
ulica Podleśna 59,1618700.0,65.4,24755.0,3,4.0,transactions
ulica Duninów 7,1015000.0,70.9,14318.0,3,4.0,transactions
ulica Instalatorów 7A,462250.0,32.6,14179.0,2,1.0,transactions
ulica Podleśna 59,1541700.0,65.5,23530.0,3,5.0,transactions
ulica Podleśna 59,1336928.0,52.3,25548.0,2,2.0,transactions
ulica Stanisława Dubois 9,3198476.0,105.6,30286.0,4,7.0,transactions
ulica Solipska 1,1224430.0,81.4,15035.0,4,2.0,transactions
ulica Kolejowa 19,665133.0,31.8,20903.0,2,7.0,transactions
ulica Szeroka 142K,1337000.0,132.2,10115.0,0,1.0,transactions
ulica Podleśna 59,1515721.0,70.3,21552.0,2,1.0,transactions
ulica Stanisława Dubois 9,1534414.0,58.7,26158.0,2,8.0,transactions
ulica Instalatorów 7A,547965.0,38.3,14307.0,2,2.0,transactions
ulica Michała Oczapowskiego 15,1345000.0,62.3,21575.0,3,1.0,transactions
ulica Południowa 26B,1330000.0,102.7,12955.0,4,1.0,transactions
ulica Kolejowa 19B,1010000.0,39.7,25434.0,2,4.0,transactions
ulica Sarmacka 27,1001281.0,67.0,14949.0,4,2.0,transactions
ulica Instalatorów 7,629172.0,39.9,15777.0,2,7.0,transactions
ulica Podleśna 59,2444110.0,106.9,22870.0,5,3.0,transactions
ulica Krochmalna 61,823491.0,28.7,28673.0,1,4.0,transactions
ulica Podleśna 59,1747383.0,63.7,27419.0,3,3.0,transactions
ulica Hilarego Koprowskiego 4,338915.0,27.4,12356.0,1,4.0,transactions
ulica Podleśna 59,3397856.0,142.0,23925.0,4,5.0,transactions
ulica Hilarego Koprowskiego 4,475606.0,32.3,14711.0,1,2.0,transactions
ulica Kolejowa 19C,1000000.0,46.0,21749.0,1,8.0,transactions
ulica Hilarego Koprowskiego 4,620000.0,47.0,13206.0,2,2.0,transactions
ulica Podleśna 59,1618700.0,65.4,24755.0,3,4.0,transactions
ulica Duninów 7,1015000.0,70.9,14318.0,3,4.0,transactions
ulica Instalatorów 7A,462250.0,32.6,14179.0,2,1.0,transactions
ulica Podleśna 59,1541700.0,65.5,23530.0,3,5.0,transactions
ulica Podleśna 59,1336928.0,52.3,25548.0,2,2.0,transactions
ulica Stanisława Dubois 9,3198476.0,105.6,30286.0,4,7.0,transactions
ulica Solipska 1,1224430.0,81.4,15035.0,4,2.0,transactions
ulica Kolejowa 19,665133.0,31.8,20903.0,2,7.0,transactions
ulica Szeroka 142K,1337000.0,132.2,10115.0,0,1.0,transactions
ulica Podleśna 59,1515721.0,70.3,21552.0,2,1.0,transactions
ulica Stanisława Dubois 9,1534414.0,58.7,26158.0,2,8.0,transactions
ulica Instalatorów 7A,547965.0,38.3,14307.0,2,2.0,transactions
ulica Michała Oczapowskiego 15,1345000.0,62.3,21575.0,3,1.0,transactions
ulica Południowa 26B,1330000.0,102.7,12955.0,4,1.0,transactions
ulica Kolejowa 19B,1010000.0,39.7,25434.0,2,4.0,transactions
ulica Sarmacka 27,1001281.0,67.0,14949.0,4,2.0,transactions
ulica Instalatorów 7,629172.0,39.9,15777.0,2,7.0,transactions
ulica Podleśna 59,2444110.0,106.9,22870.0,5,3.0,transactions
ulica Krochmalna 61,823491.0,28.7,28673.0,1,4.0,transactions
ulica Podleśna 59,1747383.0,63.7,27419.0,3,3.0,transactions
ulica Hilarego Koprowskiego 4,338915.0,27.4,12356.0,1,4.0,transactions
ulica Podleśna 59,3397856.0,142.0,23925.0,4,5.0,transactions
ulica Hilarego Koprowskiego 4,475606.0,32.3,14711.0,1,2.0,transactions
ulica Kolejowa 19C,1000000.0,46.0,21749.0,1,8.0,transactions
ulica Hilarego Koprowskiego 4,620000.0,47.0,13206.0,2,2.0,transactions
ulica Podleśna 59,1618700.0,65.4,24755.0,3,4.0,transactions
ulica Duninów 7,1015000.0,70.9,14318.0,3,4.0,transactions
ulica Instalatorów 7A,462250.0,32.6,14179.0,2,1.0,transactions
ulica Podleśna 59,1541700.0,65.5,23530.0,3,5.0,transactions
ulica Podleśna 59,1336928.0,52.3,25548.0,2,2.0,transactions
ulica Stanisława Dubois 9,3198476.0,105.6,30286.0,4,7.0,transactions
ulica Solipska 1,1224430.0,81.4,15035.0,4,2.0,transactions
ulica Kolejowa 19,665133.0,31.8,20903.0,2,7.0,transactions
ulica Szeroka 142K,1337000.0,132.2,10115.0,0,1.0,transactions
ulica Podleśna 59,1515721.0,70.3,21552.0,2,1.0,transactions
ulica Stanisława Dubois 9,1534414.0,58.7,26158.0,2,8.0,transactions
ulica Instalatorów 7A,547965.0,38.3,14307.0,2,2.0,transactions
ulica Michała Oczapowskiego 15,1345000.0,62.3,21575.0,3,1.0,transactions
ulica Południowa 26B,1330000.0,102.7,12955.0,4,1.0,transactions
ulica Kolejowa 19B,1010000.0,39.7,25434.0,2,4.0,transactions
ulica Sarmacka 27,1001281.0,67.0,14949.0,4,2.0,transactions
